# Chi2 Rg SupportVolume
1.16017e+09 4.54578e+01 3.37500e+06
1.38447e+03 4.43015e+01 3.37500e+06
1.37135e+03 4.55836e+01 3.37500e+06
1.35899e+03 4.66634e+01 3.37500e+06
1.34692e+03 4.73837e+01 3.37500e+06
1.33492e+03 4.81407e+01 3.37500e+06
1.32306e+03 4.87256e+01 3.37500e+06
1.31137e+03 4.91791e+01 3.37500e+06
1.29969e+03 4.95692e+01 3.37500e+06
1.28811e+03 4.99923e+01 3.37500e+06
1.27663e+03 5.04267e+01 3.37500e+06
1.26526e+03 5.07869e+01 3.37500e+06
1.25404e+03 5.10960e+01 3.37500e+06
1.24291e+03 5.13946e+01 3.37500e+06
1.23193e+03 5.16920e+01 3.37500e+06
1.22106e+03 5.20105e+01 3.37500e+06
1.21027e+03 5.23486e+01 3.37500e+06
1.19964e+03 5.26532e+01 3.37500e+06
1.18918e+03 5.29540e+01 3.37500e+06
1.17882e+03 5.32399e+01 3.37500e+06
1.16864e+03 5.35211e+01 3.37500e+06
1.15861e+03 5.37896e+01 3.37500e+06
1.14868e+03 5.40552e+01 3.37500e+06
1.13888e+03 5.43068e+01 3.37500e+06
1.12924e+03 5.45438e+01 3.37500e+06
1.11976e+03 5.47754e+01 3.37500e+06
1.11043e+03 5.49909e+01 3.37500e+06
1.10123e+03 5.51904e+01 3.37500e+06
1.09216e+03 5.53724e+01 3.37500e+06
1.08321e+03 5.55455e+01 3.37500e+06
1.07440e+03 5.57222e+01 3.37500e+06
1.06572e+03 5.58967e+01 3.37500e+06
1.05714e+03 5.60700e+01 3.37500e+06
1.04869e+03 5.62440e+01 3.37500e+06
1.04035e+03 5.64198e+01 3.37500e+06
1.03215e+03 5.65942e+01 3.37500e+06
1.02404e+03 5.67637e+01 3.37500e+06
1.01605e+03 5.69274e+01 3.37500e+06
1.00818e+03 5.70902e+01 3.37500e+06
1.00040e+03 5.72515e+01 3.37500e+06
9.92708e+02 5.74074e+01 3.37500e+06
9.85099e+02 5.75608e+01 3.37500e+06
9.77573e+02 5.77119e+01 3.37500e+06
9.70140e+02 5.78573e+01 3.37500e+06
9.62834e+02 5.79949e+01 3.37500e+06
9.55649e+02 5.81321e+01 3.37500e+06
9.48573e+02 5.82674e+01 3.37500e+06
9.41588e+02 5.84008e+01 3.37500e+06
9.34700e+02 5.85331e+01 3.37500e+06
9.27909e+02 5.86630e+01 3.37500e+06
9.21197e+02 5.87926e+01 3.37500e+06
9.14562e+02 5.89206e+01 3.37500e+06
9.07975e+02 5.90449e+01 3.37500e+06
9.01478e+02 5.91638e+01 3.37500e+06
8.95070e+02 5.92802e+01 3.37500e+06
8.88730e+02 5.93902e+01 3.37500e+06
8.82445e+02 5.95002e+01 3.37500e+06
8.76233e+02 5.96045e+01 3.37500e+06
8.70087e+02 5.97065e+01 3.37500e+06
8.64026e+02 5.98036e+01 3.37500e+06
8.58034e+02 5.98973e+01 3.37500e+06
8.52134e+02 5.99890e+01 3.37500e+06
8.46305e+02 6.00781e+01 3.37500e+06
8.40557e+02 6.01652e+01 3.37500e+06
8.34881e+02 6.02500e+01 3.37500e+06
8.29265e+02 6.03346e+01 3.37500e+06
8.23723e+02 6.04163e+01 3.37500e+06
8.18255e+02 6.04944e+01 3.37500e+06
8.12830e+02 6.05696e+01 3.37500e+06
8.07460e+02 6.06442e+01 3.37500e+06
8.02153e+02 6.07187e+01 3.37500e+06
7.96901e+02 6.07923e+01 3.37500e+06
7.91739e+02 6.08650e+01 3.37500e+06
7.86671e+02 6.09355e+01 3.37500e+06
7.81681e+02 6.10043e+01 3.37500e+06
7.76775e+02 6.10704e+01 3.37500e+06
7.71924e+02 6.11359e+01 3.37500e+06
7.67125e+02 6.11988e+01 3.37500e+06
7.62368e+02 6.12595e+01 3.37500e+06
7.57669e+02 6.13181e+01 3.37500e+06
7.53026e+02 6.13767e+01 3.37500e+06
7.48457e+02 6.14339e+01 3.37500e+06
7.43941e+02 6.14892e+01 3.37500e+06
7.39486e+02 6.15440e+01 3.37500e+06
7.35091e+02 6.15980e+01 3.37500e+06
7.30757e+02 6.16515e+01 3.37500e+06
7.26469e+02 6.17059e+01 3.37500e+06
7.22221e+02 6.17593e+01 3.37500e+06
7.18023e+02 6.18118e+01 3.37500e+06
7.13878e+02 6.18622e+01 3.37500e+06
7.09784e+02 6.19107e+01 3.37500e+06
