# 1/resolution, FSC
0.00000e+00 1.00000e+00
6.66667e-03 9.99353e-01
1.33333e-02 9.97707e-01
2.00000e-02 9.92565e-01
2.66667e-02 9.75629e-01
3.33333e-02 9.01205e-01
4.00000e-02 7.73550e-01
4.66667e-02 7.74700e-01
5.33333e-02 8.01863e-01
6.00000e-02 7.68353e-01
6.66667e-02 6.79066e-01
7.33333e-02 5.77906e-01
8.00000e-02 5.31105e-01
8.66667e-02 5.20610e-01
9.33333e-02 5.13244e-01
1.00000e-01 5.07739e-01
1.06667e-01 5.21824e-01
1.13333e-01 5.09773e-01
1.20000e-01 4.90282e-01
1.26667e-01 4.67006e-01
1.33333e-01 4.39281e-01
1.40000e-01 4.22297e-01
1.46667e-01 4.13649e-01
1.53333e-01 4.10409e-01
1.60000e-01 4.14316e-01
1.66667e-01 4.19697e-01
1.73333e-01 4.18921e-01
1.80000e-01 4.08219e-01
1.86667e-01 3.96402e-01
1.93333e-01 3.69649e-01
2.00000e-01 3.29118e-01
