# Chi2 Rg SupportVolume
1.74318e+09 2.82615e+01 2.70000e+07
2.67753e+03 -1.13963e+01 2.70000e+07
2.67303e+03 -3.07787e+01 2.70000e+07
2.66820e+03 -2.34434e+01 2.70000e+07
2.66310e+03 1.75185e+01 2.70000e+07
2.65781e+03 3.61035e+01 2.70000e+07
2.65235e+03 4.89184e+01 2.70000e+07
2.64676e+03 5.84733e+01 2.70000e+07
2.64103e+03 6.64512e+01 2.70000e+07
2.63530e+03 7.27661e+01 2.70000e+07
2.62950e+03 7.79155e+01 2.70000e+07
2.62361e+03 8.23753e+01 2.70000e+07
2.61771e+03 8.64161e+01 2.70000e+07
2.61173e+03 9.00681e+01 2.70000e+07
2.60569e+03 9.31293e+01 2.70000e+07
2.59961e+03 9.59429e+01 2.70000e+07
2.59354e+03 9.84222e+01 2.70000e+07
2.58750e+03 1.00602e+02 2.70000e+07
2.58153e+03 1.02547e+02 2.70000e+07
2.57558e+03 1.04287e+02 2.70000e+07
2.56968e+03 1.05725e+02 2.70000e+07
2.56384e+03 1.06964e+02 2.70000e+07
2.55802e+03 1.08074e+02 2.70000e+07
2.55225e+03 1.09091e+02 2.70000e+07
2.54651e+03 1.10036e+02 2.70000e+07
2.54079e+03 1.10937e+02 2.70000e+07
2.53512e+03 1.11754e+02 2.70000e+07
2.52954e+03 1.12488e+02 2.70000e+07
2.52399e+03 1.13141e+02 2.70000e+07
2.51850e+03 1.13670e+02 2.70000e+07
2.51306e+03 1.14126e+02 2.70000e+07
2.50766e+03 1.14552e+02 2.70000e+07
2.50231e+03 1.14937e+02 2.70000e+07
2.49698e+03 1.15317e+02 2.70000e+07
2.49170e+03 1.15662e+02 2.70000e+07
2.48646e+03 1.15988e+02 2.70000e+07
2.48127e+03 1.16313e+02 2.70000e+07
2.47613e+03 1.16606e+02 2.70000e+07
2.47103e+03 1.16868e+02 2.70000e+07
2.46594e+03 1.17119e+02 2.70000e+07
2.46088e+03 1.17341e+02 2.70000e+07
2.45583e+03 1.17545e+02 2.70000e+07
2.45081e+03 1.17729e+02 2.70000e+07
2.44583e+03 1.17881e+02 2.70000e+07
2.44091e+03 1.18026e+02 2.70000e+07
2.43601e+03 1.18153e+02 2.70000e+07
2.43110e+03 1.18250e+02 2.70000e+07
2.42622e+03 1.18307e+02 2.70000e+07
2.42137e+03 1.18341e+02 2.70000e+07
2.41653e+03 1.18356e+02 2.70000e+07
2.41169e+03 1.18352e+02 2.70000e+07
2.40693e+03 1.18339e+02 2.70000e+07
2.40219e+03 1.18313e+02 2.70000e+07
2.39747e+03 1.18279e+02 2.70000e+07
2.39278e+03 1.18249e+02 2.70000e+07
2.38812e+03 1.18223e+02 2.70000e+07
2.38347e+03 1.18184e+02 2.70000e+07
2.37883e+03 1.18123e+02 2.70000e+07
2.37423e+03 1.18064e+02 2.70000e+07
2.36964e+03 1.18004e+02 2.70000e+07
2.36507e+03 1.17929e+02 2.70000e+07
2.36051e+03 1.17834e+02 2.70000e+07
2.35598e+03 1.17726e+02 2.70000e+07
2.35147e+03 1.17600e+02 2.70000e+07
2.34697e+03 1.17471e+02 2.70000e+07
2.34253e+03 1.17339e+02 2.70000e+07
2.33813e+03 1.17210e+02 2.70000e+07
2.33374e+03 1.17075e+02 2.70000e+07
2.32939e+03 1.16944e+02 2.70000e+07
2.32508e+03 1.16811e+02 2.70000e+07
2.32081e+03 1.16671e+02 2.70000e+07
2.31656e+03 1.16529e+02 2.70000e+07
2.31236e+03 1.16383e+02 2.70000e+07
2.30817e+03 1.16226e+02 2.70000e+07
2.30401e+03 1.16071e+02 2.70000e+07
2.29987e+03 1.15920e+02 2.70000e+07
2.29577e+03 1.15759e+02 2.70000e+07
2.29169e+03 1.15590e+02 2.70000e+07
2.28765e+03 1.15416e+02 2.70000e+07
2.28362e+03 1.15242e+02 2.70000e+07
2.27962e+03 1.15070e+02 2.70000e+07
2.27565e+03 1.14891e+02 2.70000e+07
2.27171e+03 1.14710e+02 2.70000e+07
2.26777e+03 1.14523e+02 2.70000e+07
2.26388e+03 1.14330e+02 2.70000e+07
2.26000e+03 1.14136e+02 2.70000e+07
2.25612e+03 1.13939e+02 2.70000e+07
2.25225e+03 1.13750e+02 2.70000e+07
2.24838e+03 1.13563e+02 2.70000e+07
2.24455e+03 1.13381e+02 2.70000e+07
2.24075e+03 1.13201e+02 2.70000e+07
2.23697e+03 1.13023e+02 2.70000e+07
2.23317e+03 1.12846e+02 2.70000e+07
2.22939e+03 1.12677e+02 2.70000e+07
2.22561e+03 1.12510e+02 2.70000e+07
2.22185e+03 1.12345e+02 2.70000e+07
2.21812e+03 1.12177e+02 2.70000e+07
2.21442e+03 1.12010e+02 2.70000e+07
2.21074e+03 1.11839e+02 2.70000e+07
2.20706e+03 1.11666e+02 2.70000e+07
2.20340e+03 1.11494e+02 2.70000e+07
2.19977e+03 1.11320e+02 2.70000e+07
2.19619e+03 1.11155e+02 2.70000e+07
2.19262e+03 1.10991e+02 2.70000e+07
2.18908e+03 1.10828e+02 2.70000e+07
2.18556e+03 1.10663e+02 2.70000e+07
2.18205e+03 1.10496e+02 2.70000e+07
2.17855e+03 1.10329e+02 2.70000e+07
2.17508e+03 1.10166e+02 2.70000e+07
2.17163e+03 1.10002e+02 2.70000e+07
2.16820e+03 1.09840e+02 2.70000e+07
2.16479e+03 1.09678e+02 2.70000e+07
2.16138e+03 1.09512e+02 2.70000e+07
2.15796e+03 1.09343e+02 2.70000e+07
2.15455e+03 1.09171e+02 2.70000e+07
2.15115e+03 1.08997e+02 2.70000e+07
2.14776e+03 1.08817e+02 2.70000e+07
2.14438e+03 1.08636e+02 2.70000e+07
2.14101e+03 1.08454e+02 2.70000e+07
2.13765e+03 1.08273e+02 2.70000e+07
2.13426e+03 1.08088e+02 2.70000e+07
2.13087e+03 1.07902e+02 2.70000e+07
2.12746e+03 1.07716e+02 2.70000e+07
2.12406e+03 1.07533e+02 2.70000e+07
2.12067e+03 1.07349e+02 2.70000e+07
2.11730e+03 1.07164e+02 2.70000e+07
2.11394e+03 1.06980e+02 2.70000e+07
2.11058e+03 1.06791e+02 2.70000e+07
2.10722e+03 1.06604e+02 2.70000e+07
2.10386e+03 1.06419e+02 2.70000e+07
2.10050e+03 1.06237e+02 2.70000e+07
2.09715e+03 1.06059e+02 2.70000e+07
2.09382e+03 1.05881e+02 2.70000e+07
2.09050e+03 1.05704e+02 2.70000e+07
2.08722e+03 1.05523e+02 2.70000e+07
2.08396e+03 1.05342e+02 2.70000e+07
2.08070e+03 1.05160e+02 2.70000e+07
2.07745e+03 1.04977e+02 2.70000e+07
2.07420e+03 1.04795e+02 2.70000e+07
2.07096e+03 1.04615e+02 2.70000e+07
2.06771e+03 1.04432e+02 2.70000e+07
2.06449e+03 1.04250e+02 2.70000e+07
2.06130e+03 1.04066e+02 2.70000e+07
2.05812e+03 1.03881e+02 2.70000e+07
2.05496e+03 1.03695e+02 2.70000e+07
2.05181e+03 1.03507e+02 2.70000e+07
2.04869e+03 1.03319e+02 2.70000e+07
2.04559e+03 1.03128e+02 2.70000e+07
2.04250e+03 1.02934e+02 2.70000e+07
2.03942e+03 1.02744e+02 2.70000e+07
2.03635e+03 1.02556e+02 2.70000e+07
2.03329e+03 1.02369e+02 2.70000e+07
2.03024e+03 1.02185e+02 2.70000e+07
2.02720e+03 1.01999e+02 2.70000e+07
2.02415e+03 1.01814e+02 2.70000e+07
2.02111e+03 1.01626e+02 2.70000e+07
2.01808e+03 1.01440e+02 2.70000e+07
2.01506e+03 1.01254e+02 2.70000e+07
2.01204e+03 1.01068e+02 2.70000e+07
2.00901e+03 1.00883e+02 2.70000e+07
2.00599e+03 1.00695e+02 2.70000e+07
2.00297e+03 1.00508e+02 2.70000e+07
1.99999e+03 1.00319e+02 2.70000e+07
1.99701e+03 1.00131e+02 2.70000e+07
1.99407e+03 9.99436e+01 2.70000e+07
1.99114e+03 9.97570e+01 2.70000e+07
1.98822e+03 9.95744e+01 2.70000e+07
1.98531e+03 9.93907e+01 2.70000e+07
1.98241e+03 9.92051e+01 2.70000e+07
1.97951e+03 9.90196e+01 2.70000e+07
1.97661e+03 9.88341e+01 2.70000e+07
1.97373e+03 9.86516e+01 2.70000e+07
1.97084e+03 9.84675e+01 2.70000e+07
1.96796e+03 9.82859e+01 2.70000e+07
1.96507e+03 9.81049e+01 2.70000e+07
1.96219e+03 9.79261e+01 2.70000e+07
1.95932e+03 9.77464e+01 2.70000e+07
1.95647e+03 9.75686e+01 2.70000e+07
1.95362e+03 9.73931e+01 2.70000e+07
1.95079e+03 9.72214e+01 2.70000e+07
1.94797e+03 9.70531e+01 2.70000e+07
1.94517e+03 9.68861e+01 2.70000e+07
1.94238e+03 9.67196e+01 2.70000e+07
1.93960e+03 9.65503e+01 2.70000e+07
1.93682e+03 9.63794e+01 2.70000e+07
1.93403e+03 9.62075e+01 2.70000e+07
1.93125e+03 9.60332e+01 2.70000e+07
1.92847e+03 9.58598e+01 2.70000e+07
1.92570e+03 9.56863e+01 2.70000e+07
1.92294e+03 9.55126e+01 2.70000e+07
1.92018e+03 9.53375e+01 2.70000e+07
1.91743e+03 9.51604e+01 2.70000e+07
1.91467e+03 9.49834e+01 2.70000e+07
1.91191e+03 9.48092e+01 2.70000e+07
1.90918e+03 9.46359e+01 2.70000e+07
1.90645e+03 9.44650e+01 2.70000e+07
1.90372e+03 9.42931e+01 2.70000e+07
1.90100e+03 9.41215e+01 2.70000e+07
1.89829e+03 9.39510e+01 2.70000e+07
1.89559e+03 9.37824e+01 2.70000e+07
1.89290e+03 9.36160e+01 2.70000e+07
1.89022e+03 9.34507e+01 2.70000e+07
1.88754e+03 9.32846e+01 2.70000e+07
1.88486e+03 9.31177e+01 2.70000e+07
1.88219e+03 9.29498e+01 2.70000e+07
1.87951e+03 9.27835e+01 2.70000e+07
1.87684e+03 9.26208e+01 2.70000e+07
1.87418e+03 9.24595e+01 2.70000e+07
1.87152e+03 9.22980e+01 2.70000e+07
1.86886e+03 9.21361e+01 2.70000e+07
1.86620e+03 9.19743e+01 2.70000e+07
1.86354e+03 9.18135e+01 2.70000e+07
1.86089e+03 9.16536e+01 2.70000e+07
1.85823e+03 9.14941e+01 2.70000e+07
1.85558e+03 9.13342e+01 2.70000e+07
1.85293e+03 9.11747e+01 2.70000e+07
1.85028e+03 9.10174e+01 2.70000e+07
1.84763e+03 9.08620e+01 2.70000e+07
1.84499e+03 9.07091e+01 2.70000e+07
1.84234e+03 9.05561e+01 2.70000e+07
1.83973e+03 9.04031e+01 2.70000e+07
1.83711e+03 9.02513e+01 2.70000e+07
1.83451e+03 9.00996e+01 2.70000e+07
1.83189e+03 8.99469e+01 2.70000e+07
1.82929e+03 8.97920e+01 2.70000e+07
1.82670e+03 8.96386e+01 2.70000e+07
1.82411e+03 8.94849e+01 2.70000e+07
1.82152e+03 8.93314e+01 2.70000e+07
1.81894e+03 8.91769e+01 2.70000e+07
1.81638e+03 8.90225e+01 2.70000e+07
1.81383e+03 8.88720e+01 2.70000e+07
1.81130e+03 8.87207e+01 2.70000e+07
1.80879e+03 8.85704e+01 2.70000e+07
1.80628e+03 8.84245e+01 2.70000e+07
1.80379e+03 8.82792e+01 2.70000e+07
1.80131e+03 8.81357e+01 2.70000e+07
1.79883e+03 8.79940e+01 2.70000e+07
1.79635e+03 8.78526e+01 2.70000e+07
1.79388e+03 8.77114e+01 2.70000e+07
1.79141e+03 8.75695e+01 2.70000e+07
1.78895e+03 8.74287e+01 2.70000e+07
1.78650e+03 8.72872e+01 2.70000e+07
1.78406e+03 8.71452e+01 2.70000e+07
1.78161e+03 8.70022e+01 2.70000e+07
1.77916e+03 8.68582e+01 2.70000e+07
1.77672e+03 8.67147e+01 2.70000e+07
1.77429e+03 8.65721e+01 2.70000e+07
1.77188e+03 8.64333e+01 2.70000e+07
1.76947e+03 8.62955e+01 2.70000e+07
1.76706e+03 8.61568e+01 2.70000e+07
1.76465e+03 8.60179e+01 2.70000e+07
1.76224e+03 8.58798e+01 2.70000e+07
1.75986e+03 8.57413e+01 2.70000e+07
1.75748e+03 8.56033e+01 2.70000e+07
1.75510e+03 8.54661e+01 2.70000e+07
1.75273e+03 8.53302e+01 2.70000e+07
1.75037e+03 8.51965e+01 2.70000e+07
1.74802e+03 8.50637e+01 2.70000e+07
1.74566e+03 8.49311e+01 2.70000e+07
1.74331e+03 8.47984e+01 2.70000e+07
1.74097e+03 8.46654e+01 2.70000e+07
1.73864e+03 8.45332e+01 2.70000e+07
1.73631e+03 8.44016e+01 2.70000e+07
1.73399e+03 8.42705e+01 2.70000e+07
1.73166e+03 8.41392e+01 2.70000e+07
1.72933e+03 8.40080e+01 2.70000e+07
1.72701e+03 8.38769e+01 2.70000e+07
1.72470e+03 8.37468e+01 2.70000e+07
1.72239e+03 8.36182e+01 2.70000e+07
1.72008e+03 8.34897e+01 2.70000e+07
1.71777e+03 8.33619e+01 2.70000e+07
1.71546e+03 8.32344e+01 2.70000e+07
1.71315e+03 8.31065e+01 2.70000e+07
1.71084e+03 8.29812e+01 2.70000e+07
1.70854e+03 8.28570e+01 2.70000e+07
1.70624e+03 8.27326e+01 2.70000e+07
1.70396e+03 8.26081e+01 2.70000e+07
1.70166e+03 8.24838e+01 2.70000e+07
1.69938e+03 8.23603e+01 2.70000e+07
1.69710e+03 8.22384e+01 2.70000e+07
1.69483e+03 8.21172e+01 2.70000e+07
1.69257e+03 8.19983e+01 2.70000e+07
1.69033e+03 8.18816e+01 2.70000e+07
1.68811e+03 8.17652e+01 2.70000e+07
1.68589e+03 8.16482e+01 2.70000e+07
1.68368e+03 8.15304e+01 2.70000e+07
1.68146e+03 8.14134e+01 2.70000e+07
1.67925e+03 8.12985e+01 2.70000e+07
1.67705e+03 8.11853e+01 2.70000e+07
1.67486e+03 8.10727e+01 2.70000e+07
1.67268e+03 8.09590e+01 2.70000e+07
1.67049e+03 8.08466e+01 2.70000e+07
1.66831e+03 8.07348e+01 2.70000e+07
1.66613e+03 8.06260e+01 2.70000e+07
1.66396e+03 8.05166e+01 2.70000e+07
1.66179e+03 8.04065e+01 2.70000e+07
1.65961e+03 8.02964e+01 2.70000e+07
1.65744e+03 8.01884e+01 2.70000e+07
1.65528e+03 8.00808e+01 2.70000e+07
1.65312e+03 7.99729e+01 2.70000e+07
1.65096e+03 7.98662e+01 2.70000e+07
1.64880e+03 7.97615e+01 2.70000e+07
1.64665e+03 7.96568e+01 2.70000e+07
1.64450e+03 7.95529e+01 2.70000e+07
1.64235e+03 7.94491e+01 2.70000e+07
1.64020e+03 7.93455e+01 2.70000e+07
1.63807e+03 7.92429e+01 2.70000e+07
1.63594e+03 7.91409e+01 2.70000e+07
1.63381e+03 7.90401e+01 2.70000e+07
1.63168e+03 7.89398e+01 2.70000e+07
1.62955e+03 7.88387e+01 2.70000e+07
1.62742e+03 7.87369e+01 2.70000e+07
1.62531e+03 7.86338e+01 2.70000e+07
1.62319e+03 7.85306e+01 2.70000e+07
1.62108e+03 7.84282e+01 2.70000e+07
1.61897e+03 7.83260e+01 2.70000e+07
1.61686e+03 7.82263e+01 2.70000e+07
1.61477e+03 7.81287e+01 2.70000e+07
1.61269e+03 7.80324e+01 2.70000e+07
1.61060e+03 7.79362e+01 2.70000e+07
1.60852e+03 7.78405e+01 2.70000e+07
1.60643e+03 7.77461e+01 2.70000e+07
1.60435e+03 7.76524e+01 2.70000e+07
1.60227e+03 7.75598e+01 2.70000e+07
1.60021e+03 7.74690e+01 2.70000e+07
1.59814e+03 7.73789e+01 2.70000e+07
