# Chi2 Rg SupportVolume
1.16507e+09 5.76424e+01 3.37500e+06
1.38772e+03 5.26288e+01 3.37500e+06
1.37485e+03 4.98715e+01 3.37500e+06
1.36269e+03 4.86674e+01 3.37500e+06
1.35117e+03 4.83030e+01 3.37500e+06
1.34037e+03 4.84879e+01 3.37500e+06
1.33007e+03 4.88970e+01 3.37500e+06
1.32009e+03 4.94718e+01 3.37500e+06
1.31048e+03 5.01695e+01 3.37500e+06
1.30126e+03 5.08938e+01 3.37500e+06
1.29234e+03 5.15875e+01 3.37500e+06
1.28372e+03 5.22317e+01 3.37500e+06
1.27534e+03 5.28768e+01 3.37500e+06
1.26712e+03 5.34859e+01 3.37500e+06
1.25910e+03 5.40881e+01 3.37500e+06
1.25127e+03 5.47160e+01 3.37500e+06
1.24361e+03 5.53315e+01 3.37500e+06
1.23609e+03 5.59356e+01 3.37500e+06
1.22870e+03 5.65275e+01 3.37500e+06
1.22147e+03 5.70884e+01 3.37500e+06
1.21442e+03 5.76413e+01 3.37500e+06
1.20754e+03 5.81948e+01 3.37500e+06
1.20076e+03 5.87246e+01 3.37500e+06
1.19407e+03 5.92283e+01 3.37500e+06
1.18747e+03 5.97042e+01 3.37500e+06
1.18090e+03 6.01628e+01 3.37500e+06
1.17439e+03 6.06103e+01 3.37500e+06
1.16797e+03 6.10533e+01 3.37500e+06
1.16156e+03 6.14855e+01 3.37500e+06
1.15516e+03 6.18962e+01 3.37500e+06
1.14883e+03 6.22853e+01 3.37500e+06
1.14256e+03 6.26654e+01 3.37500e+06
1.13634e+03 6.30307e+01 3.37500e+06
1.13017e+03 6.33842e+01 3.37500e+06
1.12403e+03 6.37245e+01 3.37500e+06
1.11791e+03 6.40508e+01 3.37500e+06
1.11180e+03 6.43671e+01 3.37500e+06
1.10576e+03 6.46720e+01 3.37500e+06
1.09980e+03 6.49660e+01 3.37500e+06
1.09389e+03 6.52467e+01 3.37500e+06
1.08801e+03 6.55129e+01 3.37500e+06
1.08216e+03 6.57686e+01 3.37500e+06
1.07637e+03 6.60137e+01 3.37500e+06
1.07064e+03 6.62481e+01 3.37500e+06
1.06495e+03 6.64716e+01 3.37500e+06
1.05932e+03 6.66890e+01 3.37500e+06
1.05369e+03 6.68976e+01 3.37500e+06
1.04811e+03 6.70970e+01 3.37500e+06
1.04256e+03 6.72892e+01 3.37500e+06
1.03703e+03 6.74715e+01 3.37500e+06
1.03152e+03 6.76488e+01 3.37500e+06
1.02602e+03 6.78205e+01 3.37500e+06
1.02056e+03 6.79862e+01 3.37500e+06
1.01511e+03 6.81466e+01 3.37500e+06
1.00968e+03 6.83013e+01 3.37500e+06
1.00427e+03 6.84505e+01 3.37500e+06
9.98902e+02 6.85928e+01 3.37500e+06
9.93574e+02 6.87273e+01 3.37500e+06
9.88267e+02 6.88561e+01 3.37500e+06
9.82996e+02 6.89780e+01 3.37500e+06
9.77743e+02 6.90955e+01 3.37500e+06
9.72535e+02 6.92095e+01 3.37500e+06
9.67346e+02 6.93200e+01 3.37500e+06
9.62171e+02 6.94242e+01 3.37500e+06
9.57018e+02 6.95232e+01 3.37500e+06
9.51869e+02 6.96181e+01 3.37500e+06
9.46754e+02 6.97073e+01 3.37500e+06
9.41687e+02 6.97926e+01 3.37500e+06
9.36640e+02 6.98738e+01 3.37500e+06
9.31599e+02 6.99510e+01 3.37500e+06
9.26571e+02 7.00231e+01 3.37500e+06
9.21539e+02 7.00927e+01 3.37500e+06
9.16525e+02 7.01592e+01 3.37500e+06
9.11545e+02 7.02230e+01 3.37500e+06
